"Offense","Defense","Home","Offense Score","Defense Score","Period","Clock Minutes","Clock Seconds","Offense Timeouts","Defense Timeouts","Yards To Goal","Down","Distance","Scoring","Yards Gained","Play Type"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","39","3","4","false","5","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","34","1","10","false","-2","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","36","2","12","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","6","44","3","3","36","3","12","false","10","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","7","3","1","21","3","3","26","4","2","false","44","Field Goal Missed"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","1","21","3","3","74","1","10","false","8","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","1","21","3","3","66","2","2","false","19","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","0","0","3","3","47","1","10","false","6","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","17","3","0","0","3","3","47","0","10","false","0","End Period"
"UTEP","Jacksonville State","Jacksonville State","7","17","4","15","0","3","3","41","2","4","false","0","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","17","4","13","35","2","3","38","4","1","false","0","Timeout"
"UTEP","Jacksonville State","Jacksonville State","7","17","4","13","35","2","3","41","3","4","false","3","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","17","4","13","35","2","3","38","4","1","false","2","Rush"
"UTEP","Jacksonville State","Jacksonville State","7","17","4","13","35","2","3","36","1","10","false","4","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","12","19","2","3","32","2","6","true","32","Passing Touchdown"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","12","19","2","3","65","0","0","false","0","Kickoff"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","12","19","3","2","75","1","10","false","3","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","12","19","3","2","72","2","7","false","4","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","12","19","3","2","68","3","3","false","7","Pass Reception"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","12","19","3","2","61","1","10","false","4","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","12","19","3","2","57","2","6","false","3","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","12","19","3","2","54","3","3","false","0","Pass Incompletion"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","10","4","3","2","54","4","3","false","0","Punt"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","10","4","2","3","86","1","10","false","0","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","10","4","2","3","86","2","10","false","9","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","10","4","2","3","77","3","1","false","1","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","10","4","2","3","76","1","10","false","3","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","10","4","2","3","73","2","7","false","4","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","10","4","2","3","69","3","3","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","6","35","2","3","69","4","3","false","0","Punt"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","6","35","3","2","68","1","10","false","3","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","6","35","3","2","65","2","7","false","1","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","6","35","3","2","64","3","6","false","2","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","4","41","3","2","62","4","4","false","0","Punt"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","4","41","2","3","88","1","10","false","4","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","4","41","2","3","84","2","6","false","15","Penalty"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","4","41","2","3","65","1","10","false","21","Pass Reception"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","4","41","2","3","44","1","10","false","0","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","4","41","2","3","44","2","10","false","11","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","4","41","2","3","33","1","10","false","6","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","1","21","1","3","24","3","1","false","0","Timeout"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","1","21","1","3","27","2","4","false","3","Rush"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","1","21","1","3","24","3","1","false","0","Pass Incompletion"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","1","21","0","3","24","4","1","false","0","Timeout"
"UTEP","Jacksonville State","Jacksonville State","14","17","4","1","15","0","3","24","4","1","false","0","Interception"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","1","15","3","0","78","1","10","false","0","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","0","0","3","0","79","2","11","false","0","Rush"
"Jacksonville State","UTEP","Jacksonville State","17","14","4","0","0","3","0","80","0","11","false","0","End of Game"
"Louisiana Tech","Florida International","Louisiana Tech","0","0","1","15","0","3","3","65","0","0","false","0","Kickoff"
"Florida International","Louisiana Tech","Louisiana Tech","0","0","1","15","0","3","3","75","1","10","false","0","Pass Incompletion"
"Florida International","Louisiana Tech","Louisiana Tech","0","0","1","15","0","3","3","75","2","10","false","8","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","14","6","3","3","67","3","2","true","67","Rushing Touchdown"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","14","6","3","3","65","0","0","false","0","Kickoff"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","75","1","10","false","8","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","67","2","2","false","3","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","64","1","10","false","0","Pass Incompletion"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","64","2","10","false","6","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","58","3","4","false","7","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","51","1","10","false","0","Pass Incompletion"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","51","2","10","false","4","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","14","6","3","3","47","3","6","false","-12","Fumble Recovery (Own)"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","10","25","3","3","59","4","18","false","0","Punt"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","10","25","3","3","85","1","10","false","2","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","10","25","3","3","83","2","8","false","4","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","10","25","3","3","79","3","4","false","2","Pass Reception"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","8","7","3","3","77","4","2","false","0","Punt"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","8","7","3","3","58","1","10","false","0","Pass Incompletion"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","8","7","3","3","58","2","10","false","13","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","7","1","7","12","3","3","45","1","10","false","0","Interception"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","7","12","3","3","56","1","10","false","15","Penalty"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","7","12","3","3","37","1","10","false","7","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","7","12","3","3","30","2","3","false","2","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","7","12","3","3","28","3","1","false","7","Rush"
"Florida International","Louisiana Tech","Louisiana Tech","7","0","1","7","12","3","3","21","1","10","false","0","Penalty"
"Florida International","Louisiana Tech","Louisiana Tech","14","0","1","4","42","3","3","6","1","6","true","6","Rushing Touchdown"
"Florida International","Louisiana Tech","Louisiana Tech","14","0","1","4","35","3","3","65","0","0","false","0","Kickoff"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","74","1","10","false","9","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","65","2","1","false","2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","63","1","10","false","2","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","61","2","8","false","19","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","42","1","10","false","16","Pass Reception"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","26","1","10","false","1","Rush"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","4","35","3","3","25","2","9","false","-5","Penalty"
"Louisiana Tech","Florida International","Louisiana Tech","0","14","1","0","0","3","3","30","2","14","false","0","Rush"
